Columna,Distribución,k,H(X),Hn(X),C(X),U(X),1-U(X),EIAC,Relevancia,Clasificación funcional,Análisis,Datos faltantes,Valor más frecuente,Frecuencia valor más frecuente,Total observado
Binary_Noisy,FALSE = 604; TRUE = 596,2,0.999968,0.999968,1.0,0.001667,0.998333,0.998301,Alta relevancia,Analítica complementaria,Alta relevancia informativa; columna analítica complementaria.,0,FALSE,604,1200
Redundant_Of_Category,Gamma = 339; Beta = 317; Alpha = 292; Delta = 252,4,1.991494,0.995747,1.0,0.003333,0.996667,0.992428,Alta relevancia,Analítica complementaria,Alta relevancia informativa; columna analítica complementaria.,0,Gamma,339,1200
Abstraction,Gamma = 345; Beta = 314; Alpha = 291; Delta = 250,4,1.990267,0.995134,1.0,0.003333,0.996667,0.991816,Alta relevancia,Analítica,Alta relevancia informativa; columna analítica para comparar registros.,0,Gamma,345,1200
Description,Este registro de prueba describe un mecanismo de autenticación simulado generado aleatoriamente para pruebas de entropía. = 24; Se simula la explotación de un mecanismo de autenticación simulado generado aleatoriamente para pruebas de entropía. = 24; Se simula la explotación de un mecanismo de autenticación simulado con fines exclusivamente de validación del modelo. = 24; El escenario sintético representa una dependencia simulada sin parches como parte de un conjunto de datos sintético. = 22; ... + 76 valores,80,6.277561,0.992982,1.0,0.066667,0.933333,0.926783,Alta relevancia,Descriptiva contextual,Alta relevancia informativa; columna descriptiva o contextual.,0,Este registro de prueba describe un mecanismo de autenticación simulado generado aleatoriamente para pruebas de entropía.,24,1200
description_length_chars,116 = 125; 112 = 94; 114 = 90; 120 = 88; ... + 20 valores,24,4.32558,0.943427,1.0,0.02,0.98,0.924559,Alta relevancia,Analítica complementaria,Alta relevancia informativa; columna analítica complementaria.,0,116,125,1200
Typical Severity,Medium = 277; Low = 246; High = 192; Critical = 173,4,1.974744,0.987372,0.74,0.003333,0.996667,0.72822,Alta relevancia,Analítica,Alta relevancia informativa; columna analítica para comparar registros.,312,Medium,277,888
Likelihood Of Attack,Dominant = 1126; Rare3 = 64; Rare2 = 10,3,0.369259,0.232977,1.0,0.0025,0.9975,0.232394,Baja relevancia,Analítica,Baja relevancia informativa; columna analítica para comparar registros.,0,Dominant,1126,1200
Status,Standard = 1165; Variant_A = 18; Variant_B = 17,3,0.219345,0.138391,1.0,0.0025,0.9975,0.138045,Baja relevancia,Analítica,Baja relevancia informativa; columna analítica para comparar registros.,0,Standard,1165,1200
Sparse_Field,Evento raro C = 22; Evento raro A = 18; Evento raro B = 18,3,1.578243,0.995761,0.048333,0.0025,0.9975,0.048008,Baja relevancia,Bajo aporte por datos faltantes,Baja relevancia informativa; requiere revisión por datos faltantes.,1142,Evento raro C,22,58
High_Cardinality_Code,UIFU63JN = 4; KBKTDA7V = 4; Q3VWOJ1S = 4; 94FRXNNI = 3; ... + 1174 valores,1178,10.186523,0.998471,1.0,0.981667,0.018333,0.018305,Baja relevancia,Posible identificador o texto único,Baja relevancia informativa; posible identificador o texto único.,0,UIFU63JN,4,1200
ID,49 = 1; 1182 = 1; 485 = 1; 930 = 1; ... + 1196 valores,1200,10.228819,1.0,1.0,1.0,0.0,0.0,Baja relevancia,Trazabilidad,Baja relevancia informativa; columna de trazabilidad.,0,49,1,1200
Name,Fake Overflow B8 = 1; Demo Spoofing F11 = 1; Trial Hijack B2 = 1; Generic Compromise F6 = 1; ... + 1196 valores,1200,10.228819,1.0,1.0,1.0,0.0,0.0,Baja relevancia,Trazabilidad,Baja relevancia informativa; columna de trazabilidad.,0,Fake Overflow B8,1,1200
Uniform_Random_Text,oktkznpaet = 1; vwgwkxsmxv = 1; raepvjeeki = 1; adexdnnkol = 1; ... + 1196 valores,1200,10.228819,1.0,1.0,1.0,0.0,0.0,Baja relevancia,Posible identificador o texto único,Baja relevancia informativa; posible identificador o texto único.,0,oktkznpaet,1,1200
Mostly_Missing,Valor excepcional = 7,1,0.0,0.0,0.005833,0.000833,0.999167,0.0,Baja relevancia,Bajo aporte por datos faltantes,Baja relevancia informativa; requiere revisión por datos faltantes.,1193,Valor excepcional,7,7
